SNo.,Anime Name,Release Date,Airing Status,Watching Status,Genres,Seasons,Episodes
1,Ahiru no Sora,[2019],Complete,Finished,['Shounen'],N/A,[50]
2,Akame ga Kill!,[2014],Complete,Finished,['Shounen'],N/A,[24]
3,Ao no Exorcist,"[2011, 2017]",Complete,Finished,['Shounen'],2,"[26, 12]"
4,Assassination Classroom,"[2015, 2016]",Complete,Finished,['Shounen'],2,"[22, 25]"
5,Attack on Titan,"[2013, 2017, 2018, 2020]",Complete,Finished,['Shounen'],4,"[25,12,22,16]"
6,Avatar: The Last Airbender,"[2005, 2006, 2007]",Complete,Finished,['Fantasy'],3,"[20, 20, 21]"
7,Avatar: The Legends of Korra,"[2012, 2013, 2014, 2014]",Complete,Finished,['Fantasy'],4,"[12, 14, 13, 13]"
8,Baki,"[2018, 2020]",Complete,Finished,['Shounen'],2,"[26, 13]"
9,Beyblade: Metal Saga,"[2009, 2011, 2012, 2012]",Complete,Finished,['Sport'],4,"[51, 51, 52, 45]"
10,Black Clover,[2017],Complete,Finished,['Shounen'],N/A,[170]
11,Boruto: Next Generation Naruto,[2017],Ongoing,Watching,['Shounen'],N/A,[206]
12,Bungou Stray Dogs,"[2016, 2016, 2019]",Complete,Finished,['Seinen'],3,"[12, 12, 12]"
13,Case Closed,[1996],Ongoing,Watching,['Shounen'],N/A,[1008]
14,Castlevania,"[2017, 2018, 2020, 2021]",Complete,Finished,['Dark Fantasy'],4,"[4, 8, 10, 10]"
15,Charlotte,[2015],Complete,Finished,['Supernatural'],N/A,[13]
16,Classroom of the Elite,[2017],Complete,Finished,['Psychological Thriller'],N/A,[12]
17,Code Geass,"[2008, 2008]",Complete,Not Yet,['Psychological Thriller'],2,"[25, 25]"
18,Death Note,[2007],Complete,Finished,['Psychological Thriller'],N/A,[39]
19,Demon Slayer: Kimetsu no Yaiba,[2019],Complete,Finished,['Shounen'],1,[26]
20,Devilman Crybaby,[2018],Complete,Watching,['Dark Fantasy'],N/A,[10]
21,Dororo,[2019],Complete,Not Yet,['Dark Fantasy'],N/A,[24]
22,Dr. Stone,"[2019, 2021]",Complete,Finished,['Shounen'],2,"[24, 11]"
23,Dragon Ball ,[1986],Complete,Finished,['Fantasy'],N/A,[153]
24,Dragon Ball GT,[1996],Complete,Finished,['Fantasy'],N/A,[64]
25,Dragon Ball Super,[2017],Complete,Finished,['Fantasy'],N/A,[131]
26,Dragon Ball Z,[1989],Complete,Finished,['Fantasy'],N/A,[291]
27,Fairy Tail,[2009],Complete,Finished,['Shounen'],N/A,[328]
28,Fire Force,"[2019, 2020]",Complete,Finished,['Shounen'],2,"[24, 24]"
29,Haikyuu!!,"[2014, 2016, 2016, 2020]",Complete,Finished,['Sports'],5,"[25, 25, 10, 25]"
30,Hajime no Ippo,"[2000, 2009, 2013]",Complete,Finished S01,['Shounen'],3,"[76, 26, 25]"
31,High School DxD,"[2012, 2013, 2015, 2018]",Complete,Finished,['Supernatural'],3,"[12, 12, 12, 13]"
32,Hitori no Shita: The Outcast,"[2016, 2018]",Complete,Finished,['Shounen'],3,"[12, 24]"
33,Hunter X Hunter,[2011],Complete,Finished,['Shounen'],N/A,[148]
34,Inazuma Eleven,[2008],Complete,Finished,['Sports'],N/A,[127]
35,JoJo's Bizarre Adventures,"[2012, 2014, 2016, 2018]",Complete,Finished,['Shounen'],4,"[26, 48, 39, 39]"
36,K,"[2012, 2014, 2015]",Complete,Watching,['Shounen'],3,"[12, 1, 13]"
37,Kakegurui,"[2017, 2019]",Complete,Finished,['Gambling'],2,"[12, 12]"
38,Kakushigoto,[2020],Complete,Finished,['Shounen'],1,[12]
39,Kengan Ashura,"[2019, 2019]",Complete,Finished,['Martial Arts'],2,"[12, 12]"
40,Kuroko no Baseketball,"[2012, 2013, 2015]",Complete,Finished,['Shounen'],3,"[25, 25, 25]"
41,Levius,[2019],Complete,Finished,['Martial Arts'],1,[12]
42,Magi,"[2012, 2013]",Complete,Finished,['Shounen'],2,"[25, 25]"
43,Magmell,[2019],Complete,Finished,['Shounen'],1,[13]
44,Mob Psycho 100,"[2016, 2019]",Complete,Finished,['Shounen'],2,"[12, 13]"
45,My Hero Academia,"[2016, 2017, 2018, 2019, 2021]",Complete,Finished,['Shounen'],5,"[13, 25, 25, 25, 25]"
46,Naruto,[2003],Complete,Finished,['Shounen'],N/A,[220]
47,Naruto Shippuden,[2007],Complete,Finished,['Shounen'],N/A,[500]
48,One Piece,[1999],Ongoing,Watching,['Shounen'],N/A,[979]
49,One Punch Man,"[2015, 2019]",Complete,Finished,['Superhero'],2,"[12, 12]"
50,Parasyte: The Maxim,[2015],Complete,Finished,['Horror Thriller'],N/A,[24]
51,Radiant,"[2018, 2019]",Complete,Finished,['Shounen'],2,"[21, 21]"
52,Re:ZERO -Starting Life in Another World,"[2016, 2020]",Complete,Watching,['Shounen'],2,"[25, 25]"
53,Samurai 7,[2006],Complete,Finished,['Adventure'],N/A,[26]
54,Steins;Gate,"[2011, 2018]",Complete,Not Yet,['Shounen'],2,"[25, 23]"
55,Sword Art Online,"[2012, 2014, 2018]",Complete,Finished S01-02,['Shounen'],3,"[25, 24, 47]"
56,Taboo Tattoo,[2016],Complete,Finished,['Dark Fantasy'],N/A,[12]
57,The Disastrous Life of Saiki K,"[2016, 2018, 2019]",Complete,Finished,['Supernatural'],3,"[24, 24, 6]"
58,The God Of High School,[2020],Complete,Finished,['Shounen'],1,[13]
59,The Millionaire Detective - Balance UNLIMITED,[2020],Complete,Finished,['Mystery'],N/A,[13]
60,The Promised Neverland,"[2019, 2021]",Complete,Finished,['Dark Fantasy'],2,"[12, 11]"
61,The Seven Deadly Sins,"[2014, 2016, 2018, 2019, 2021]",Complete,Watching,['Shounen'],5,"[24, 4, 24, 24, 24]"
62,Tokyo Ghoul,"[2017, 2017, 2018, 2018]",Complete,Finished,['Dark Fantasy'],4,"[12, 12, 12, 12]"
63,Vinland Saga,[2019],Complete,Not Yet,['Adventure'],N/A,[24]
